SAT,GPA
1714.0049671415302,2.398617356988288
1664.006476885381,2.5352302985640804
1759.9976584662527,2.537658630430508
1685.015792128155,2.7476743472915293
1692.9953052561407,2.8354256004358596
1669.9953658230718,2.9053427024642975
1764.0024196227157,2.980867197553422
1763.982750821675,2.99437712470759
1791.9898716887967,3.0131424733259524
1849.990919759245,2.995876962986647
1735.0146564876893,3.0177422369951348
1775.0006752820468,3.055752518137865
1734.9945561727548,3.081109225897099
1711.9884900642257,3.083756980183457
1772.9939936131009,3.117083062502067
1871.9939829338778,3.1885227818450894
1754.9998650277525,3.159422890710441
1674.008225449121,3.1577915635002896
1842.00208863595,3.1504032987612023
1785.986718139511,3.191968612358691
1761.0073846658,3.1917136828118995
1721.998843517176,3.186988963044107
1662.9852147800964,3.192801557916053
1686.9953936122904,3.220571222262189
1974.0034361828957,3.222369598446373
1826.003240839694,3.2761491771958364
1786.993230779997,3.2861167628884087
1821.010309995225,3.2893128011911617
2019.9916078247677,3.276907876241488
1794.003312634314,3.2897554512712235
1768.9952082576215,3.2781434102333615
1933.98893665026,3.268037933759193
1775.008125258224,3.3035624002857085
1854.9992798987842,3.3000353289789204
1880.0036163602506,3.2835488024539488
1849.003613956055,3.32538036566466
1807.999641739609,3.33564643655814
1953.9738025489592,3.3482190250437522
1777.0008704706825,3.3670099264953413
1831.0009176077654,3.350124310853991
1864.9978032811216,3.3735711257151175
1850.0147789404475,3.3748172978172635
1965.991915063971,3.3749824295641546
1702.009154021177,3.393287511096597
1989.9947023979623,3.395132674331134
1925.0009707754934,3.4096864499053288
1823.9929794690613,3.396723378534022
1955.9960789184686,3.3853648505186786
1857.0029612027706,3.412610552721799
1979.0000511345663,3.4076541286662487
1801.9858462925795,3.4057935467723466
1854.9965728548348,3.4119772273077835
1906.9983871428833,3.424040508568145
1634.018861859012,3.4217457781283183
1879.0025755039073,3.439255540842338
1886.980812287847,3.469734861245508
1730.0006023020994,3.494632421124853
1952.9980763903523,3.4730154734233363
1780.999652882303,3.458313219623805
1891.0114282281452,3.487519330326868
1964.0079103194705,3.480906125452053
1808.0140279431093,3.4759814893720775
1893.005868570938,3.5219045562580997
2040.9900946367486,3.504337022703972
1893.000996513651,3.504965243458838
1831.9844933656893,3.52068562974806
1849.9893769628627,3.5247359243063516
1933.9908057576577,3.5554993440501756
1860.9921674670766,3.5767793848379434
1931.0081351721738,3.5676913568356605
1933.002274599346,3.603071427542824
1777.9839251676544,3.5918463385853228
1975.0025988279424,3.607818228717773
1933.9876304928912,3.5867954338691574
2021.0052194156563,3.612969846732332
2015.0025049285034,3.62346448209497
1996.9931997527842,3.6423225369716103
2020.002930724733,3.642856485819736
1843.0186577451113,3.714738329209118
1935.988086965028,3.716565536086338
1809.9902531832977,3.7178708460374246
1987.01158595579,3.7217931768164827
1962.0096337612924,3.7641278092693646
2050.0082206016,3.8289679298265393
1713.9975461188399,2.392462638356425
1663.9911048557037,2.5118418971503456
1759.9992289829058,2.5434115197481666
1685.0027669079932,2.7482718324903606
1693.0001300189188,2.844535340771573
1669.9973534316675,2.9372016916658965
1764.0062566734775,2.991428424435837
1763.9892910750193,3.004824724152432
1791.9977653721467,3.0171400049409205
1850.0047323762458,3.0092717108734313
1734.9915320628193,3.0048515277531416
1774.9955348504793,3.0785639879432347
1735.0021409374413,3.0675426122128804
1712.0017318092584,3.0838531737972885
1772.991161425638,3.1215372510594555
1872.0005820871845,3.1585702970216936
1755.0035778736035,3.1756078452636824
1674.0108305124318,3.180538020520349
1841.9862233063204,3.160621749600849
1786.005150352672,3.195137859509122
1761.005150476863,3.228527314906547
1722.005708905107,3.2013556564018057
1663.009540017635,3.206513912513058
1686.9968473075537,3.2175896922049327
1973.9922717478546,3.2376318139326
1825.9951463645218,3.280818741393863
1787.0231465856668,3.2613273480740825
1821.0068626019038,3.2638728412881033
2019.9952806813421,3.2908895059696737
1794.000642800191,3.2692225522207066
1768.9928469629074,3.2867959774893465
1933.9926963336827,3.2821645858958197
1775.000455718399,3.283483996523942
1855.0214394408933,3.29633919022318
1879.9797485741335,3.2918645431476943
1848.9933821353522,3.318524333347962
1807.9920747926158,3.3188526355853307
1954.0050498727899,3.348657551941701
1776.9879970359295,3.3666549876415908
1830.9952505468884,3.363466707674263
1865.0176545424029,3.3740498171096096
1849.9873911604566,3.3891786194705475
1966.0212215619702,3.3903246526055115
1701.9848063003406,3.3851576592713375
1990.012669111492,3.3829233053438124
1925.0044381942814,3.407746340534293
1823.9907306952841,3.399404746439382
1955.9675873265994,3.389756123586657
1856.997474318486,3.397522168180352
1979.0163241130392,3.395698586220394
1801.9955995551331,3.411307405772861
1855.0144127328906,3.4056413784882054
1907.0116316375215,3.4201023306101956
1633.9901849134894,3.4246210347426325
1879.0019905969557,3.433997831228412
1887.00069802085,3.4661468640313826
1730.0011351734524,3.4766213067452107
1953.0158601681615,3.4576218450117318
1781.0213303337466,3.4504791220047752
1890.9984821490496,3.4858831720648458
1964.0028099186773,3.4837730048017943
1807.9979187774964,3.485069990653412
1892.9941063524307,3.50849602097021
2041.0035701548597,3.503070904047393
1893.0089959987542,3.513072995208766
1832.0081286211885,3.526296288419236
1849.9917100498908,3.5143981895980305
1934.0074729360513,3.5461037026543347
1860.9997909840604,3.581173273833088
1931.012776648958,3.574084286111642
1933.0054709738117,3.587978073475661
1777.9978231879677,3.6009877685198717
1975.00825416349,3.6081350963600065
1934.0130547880715,3.6002100384163276
2021.0068195297129,3.606897332434065
2015.003241663525,3.618698569456323
